
daily
Date,Crop,Stage,AbBiom,OrgBiom/Leaf,OrgBiom/Fruit,Yield,LAI,Precip,Mois_1,Mois_2,Mois_3,Mois_1,Mois_2,Mois_3,SOC_1,SOC_2,SOC_3,Tavg,Globrad
j:Date,j:Crop,j:Stage,j:AbBiom,"j:[OrgBiom, Leaf]","j:[OrgBiom, Fruit]",j:Yield,j:LAI,j:Precip,"j:[Mois, [1, 3]]","j:[Mois, [1, 3]]","j:[Mois, [1, 3]]","j:[Mois, [1, 3], AVG]","j:[Mois, [1, 3], AVG]","j:[Mois, [1, 3], AVG]","j:[SOC, [1, 3]]","j:[SOC, [1, 3]]","j:[SOC, [1, 3]]",j:Tavg,j:Globrad
1990-01-01,,0,0,0,0,0,0,0.1,0.235,0.234,0.234,0.235,0.234,0.234,0.008,0.008,0.008,-1.3,1.3
1990-01-02,,0,0,0,0,0,0,0.1,0.236,0.234,0.234,0.236,0.234,0.234,0.008,0.008,0.008,-1.1,1.35
1990-01-03,,0,0,0,0,0,0,0,0.236,0.234,0.234,0.236,0.234,0.234,0.008,0.008,0.008,-2,1.37
1990-01-04,,0,0,0,0,0,0,0,0.236,0.234,0.234,0.236,0.234,0.234,0.008,0.008,0.008,-1.9,2.13
1990-01-05,,0,0,0,0,0,0,1,0.247,0.234,0.234,0.247,0.234,0.234,0.008,0.008,0.008,-0.6,1.38
1990-01-06,,0,0,0,0,0,0,0,0.247,0.234,0.234,0.247,0.234,0.234,0.008,0.008,0.008,-1.2,1.51
1990-01-07,,0,0,0,0,0,0,0,0.247,0.234,0.234,0.247,0.234,0.234,0.008,0.008,0.008,-1.3,2.57
1990-01-08,,0,0,0,0,0,0,0,0.247,0.234,0.234,0.247,0.234,0.234,0.008,0.008,0.008,-2.4,1.44
1990-01-09,,0,0,0,0,0,0,0,0.246,0.234,0.234,0.246,0.234,0.234,0.008,0.008,0.008,1.5,1.46
1990-01-10,,0,0,0,0,0,0,0.7,0.251,0.234,0.234,0.251,0.234,0.234,0.008,0.008,0.008,2.1,1.49
1990-01-11,,0,0,0,0,0,0,0,0.249,0.234,0.234,0.249,0.234,0.234,0.008,0.008,0.008,2.4,1.55
1990-01-12,,0,0,0,0,0,0,0,0.249,0.234,0.234,0.249,0.234,0.234,0.008,0.008,0.008,2.6,4.01
1990-01-13,,0,0,0,0,0,0,0,0.248,0.234,0.234,0.248,0.234,0.234,0.008,0.008,0.008,-0.1,1.54
1990-01-14,,0,0,0,0,0,0,0.2,0.25,0.234,0.234,0.25,0.234,0.234,0.008,0.008,0.008,1.6,1.95
1990-01-15,,0,0,0,0,0,0,0,0.239,0.239,0.236,0.239,0.239,0.236,0.008,0.008,0.008,3.7,1.76
1990-01-16,,0,0,0,0,0,0,0,0.234,0.237,0.237,0.234,0.237,0.237,0.008,0.008,0.008,7.6,1.64
1990-01-17,,0,0,0,0,0,0,0.9,0.234,0.237,0.237,0.234,0.237,0.237,0.008,0.008,0.008,6.8,2.34
1990-01-18,,0,0,0,0,0,0,0,0.231,0.236,0.237,0.231,0.236,0.237,0.008,0.008,0.008,3.3,4.68
1990-01-19,,0,0,0,0,0,0,0,0.227,0.235,0.236,0.227,0.235,0.236,0.008,0.008,0.008,4.1,4.12
1990-01-20,,0,0,0,0,0,0,0,0.224,0.234,0.236,0.224,0.234,0.236,0.008,0.008,0.008,4.3,1.83
1990-01-21,,0,0,0,0,0,0,1.3,0.234,0.234,0.235,0.234,0.234,0.235,0.008,0.008,0.008,6.6,1.81
1990-01-22,,0,0,0,0,0,0,0,0.232,0.234,0.235,0.232,0.234,0.235,0.008,0.008,0.008,6,4.91
1990-01-23,,0,0,0,0,0,0,1.3,0.236,0.237,0.236,0.236,0.237,0.236,0.008,0.008,0.008,7.2,3.9
1990-01-24,,0,0,0,0,0,0,8.7,0.241,0.245,0.245,0.241,0.245,0.245,0.008,0.008,0.008,4.5,4.35
1990-01-25,,0,0,0,0,0,0,7.9,0.24,0.244,0.245,0.24,0.244,0.245,0.008,0.008,0.008,6.8,1.92
1990-01-26,,0,0,0,0,0,0,5.1,0.24,0.244,0.245,0.24,0.244,0.245,0.008,0.008,0.008,5,3.82
1990-01-27,,0,0,0,0,0,0,1,0.237,0.241,0.242,0.237,0.241,0.242,0.008,0.008,0.008,4.2,4.53
1990-01-28,,0,0,0,0,0,0,0.2,0.23,0.237,0.239,0.23,0.237,0.239,0.008,0.008,0.008,6,2.15
1990-01-29,,0,0,0,0,0,0,0,0.226,0.236,0.238,0.226,0.236,0.238,0.008,0.008,0.008,5.1,7.66
1990-01-30,,0,0,0,0,0,0,0,0.222,0.235,0.237,0.222,0.235,0.237,0.008,0.008,0.0079,4.3,3.4
1990-01-31,,0,0,0,0,0,0,0,0.214,0.233,0.236,0.214,0.233,0.236,0.008,0.008,0.0079,8.6,3.61
1990-02-01,,0,0,0,0,0,0,0,0.209,0.232,0.235,0.209,0.232,0.235,0.008,0.008,0.0079,7.7,3.46
1990-02-02,,0,0,0,0,0,0,1.7,0.221,0.231,0.234,0.221,0.231,0.234,0.008,0.0079,0.0079,6.4,4.59
1990-02-03,,0,0,0,0,0,0,1.4,0.227,0.229,0.234,0.227,0.229,0.234,0.008,0.0079,0.0079,6.8,2.19
1990-02-04,,0,0,0,0,0,0,2.1,0.236,0.235,0.234,0.236,0.235,0.234,0.0079,0.0079,0.0079,6.3,7.63
1990-02-05,,0,0,0,0,0,0,0,0.23,0.234,0.234,0.23,0.234,0.234,0.0079,0.0079,0.0079,7,9.13
1990-02-06,,0,0,0,0,0,0,0,0.226,0.233,0.233,0.226,0.233,0.233,0.0079,0.0079,0.0079,6,9.54
1990-02-07,,0,0,0,0,0,0,0,0.217,0.231,0.233,0.217,0.231,0.233,0.0079,0.0079,0.0079,7.5,5.95
1990-02-08,,0,0,0,0,0,0,3.3,0.233,0.236,0.234,0.233,0.236,0.234,0.0079,0.0079,0.0079,8.4,5.07
1990-02-09,,0,0,0,0,0,0,0.4,0.233,0.235,0.234,0.233,0.235,0.234,0.0079,0.0079,0.0079,4.4,3.55
1990-02-10,,0,0,0,0,0,0,2.6,0.239,0.241,0.24,0.239,0.241,0.24,0.0079,0.0079,0.0079,3.1,6.26
1990-02-11,,0,0,0,0,0,0,2.5,0.24,0.242,0.242,0.24,0.242,0.242,0.0079,0.0079,0.0079,4.4,6.94
